-0.3	2.24794071393e-07
-0.29	2.35915513338e-07
-0.28	2.47731269488e-07
-0.27	2.60291578324e-07
-0.26	2.73650554437e-07
-0.25	2.87866465068e-07
-0.24	3.03002015961e-07
-0.23	3.1912464358e-07
-0.22	3.36306809601e-07
-0.21	3.54626292167e-07
-0.2	3.7416646659e-07
-0.19	3.95016566029e-07
-0.18	4.17271909939e-07
-0.17	4.41034084837e-07
-0.16	4.66411057977e-07
-0.15	4.93517199831e-07
-0.14	5.22473185648e-07
-0.13	5.53405739913e-07
-0.12	5.86447179953e-07
-0.11	6.21734706473e-07
-0.1	6.59409379321e-07
-0.09	6.99614706661e-07
-0.08	7.42494765094e-07
-0.07	7.88191757956e-07
-0.06	8.36842909729e-07
-0.05	8.88576587632e-07
-0.04	9.43507538778e-07
-0.03	1.00173113523e-06
-0.02	1.06331653278e-06
-0.01	1.12829867638e-06
0.0	1.19666912935e-06
0.01	1.26836577085e-06
0.02	1.34326149907e-06
0.03	1.42115220129e-06
0.04	1.50174440672e-06
0.05	1.58464322113e-06
0.06	1.66934134587e-06
0.07	1.755210192e-06
0.08	1.84149428764e-06
0.09	1.92731030937e-06
0.1	2.01165210422e-06
0.11	2.09340296104e-06
0.12	2.17135609865e-06
0.13	2.24424383532e-06
0.14	2.31077519239e-06
0.15	2.36968080539e-06
0.16	2.41976305389e-06
0.17	2.45994840829e-06
0.18	2.48933827984e-06
0.19	2.50725430621e-06
0.2	2.51327412287e-06
0.21	2.50725430621e-06
0.22	2.48933827984e-06
0.23	2.45994840829e-06
0.24	2.41976305389e-06
0.25	2.36968080539e-06
0.26	2.31077519239e-06
0.27	2.24424383532e-06
0.28	2.17135609865e-06
0.29	2.09340296104e-06
0.3	2.01165210422e-06
